ler
amar
arar
cair
doer
moer
orar
roer
sair
voar
abrir
achar
adiar
afiar
aguar
andar
arder
assar
babar
bater
beber
bicar
boiar
caçar
calar
casar
cavar
coçar
comer
curar
domar
falar
falir
ferir
frear
fugir
furar
guiar
jogar
latir
lavar
ligar
lixar
lutar
mirar
nadar
negar
nevar
odiar
olhar
ouvir
pagar
picar
pisar
podar
polir
pular
puxar
ralar
regar
rezar
rodar
rolar
secar
socar
subir
sujar
sumir
tocar
trair
uivar
votar
abafar
abanar
acenar
acusar
adoçar
adubar
afagar
ajudar
alagar
alisar
alugar
anotar
apitar
atacar
atirar
avisar
azedar
beijar
berrar
bordar
brotar
buscar
calçar
cantar
cercar
chamar
chorar
chutar
clicar
cobrir
correr
cortar
cuidar
curtir
curvar
dançar
deitar
descer
dormir
educar
entrar
enviar
espiar
fatiar
fechar
ferver
filmar
formar
fritar
ganhar
gostar
gravar
gritar
imitar
inalar
jantar
julgar
lacrar
lamber
lançar
limpar
malhar
mapear
marcar
molhar
montar
morder
multar
nutrir
operar
partir
passar
pensar
perder
pescar
pintar
piorar
piscar
postar
pousar
pregar
quicar
rachar
ranger
rasgar
raspar
saciar
salgar
saltar
salvar
sambar
seguir
semear
sentar
serrar
servir
sobrar
soldar
sonhar
sorrir
surfar
tampar
tatuar
teclar
torcer
torrar
tossir
tramar
tremer
trocar
varrer
vencer
vender
ventar
vestir
viajar
vigiar
voltar
abaixar
abduzir
abotoar
abraçar
abrigar
acalmar
acampar
aceitar
acender
acertar
acessar
achatar
acolher
acordar
admirar
afastar
afundar
agachar
agendar
agrupar
ajustar
alargar
alegrar
alinhar
almoçar
alongar
amaciar
amarrar
amassar
ancorar
apertar
apontar
aprovar
aquecer
aterrar
atrasar
bajular
batizar
batucar
bocejar
brilhar
brincar
brindar
buzinar
cachear
capotar
chatear
cheirar
colorir
comprar
crescer
cutucar
decolar
deletar
demitir
demolir
desfiar
digerir
digitar
dirigir
dividir
engatar
engolir
ensinar
enxugar
escalar
escapar
escavar
escovar
esfriar
esmagar
esticar
estudar
estufar
evoluir
extrair
farejar
flertar
flutuar
fofocar
galopar
grelhar
guardar
indagar
indicar
injetar
inundar
lanchar
leiloar
lembrar
levitar
lustrar
maquiar
medicar
meditar
mostrar
murchar
namorar
navegar
passear
pedalar
pentear
pilotar
plagiar
plantar
prender
proibir
quebrar
queimar
rasurar
rebocar
rebolar
rechear
recusar
reduzir
relaxar
remover
rotular
sacudir
segurar
separar
trancar
treinar
vacinar
visitar
vomitar
xerocar
abalroar
abençoar
absorver
acelerar
acomodar
adestrar
ajoelhar
alcançar
aparecer
aplaudir
arbitrar
arrancar
arranhar
arrastar
arrepiar
asfaltar
assaltar
assistir
assoprar
assustar
auxiliar
bagunçar
balançar
beliscar
bifurcar
bloquear
borrifar
bronzear
cabecear
caminhar
camuflar
carimbar
carregar
cavalgar
celebrar
cochilar
comandar
combinar
comparar
comungar
conectar
congelar
consolar
contrair
convidar
costurar
cozinhar
criticar
cultivar
debruçar
degustar
derramar
derreter
derrubar
desafiar
descamar
desenhar
desfilar
desligar
desmaiar
desmatar
despedir
destruir
dialogar
difundir
discutir
eliminar
embarcar
empilhar
empurrar
encardir
encostar
enfeitar
engasgar
ensaboar
enxaguar
escaldar
esconder
esculpir
esfregar
espalhar
espantar
espirrar
espremer
estender
estourar
evaporar
explodir
exportar
fabricar
festejar
gatinhar
grampear
gratinar
guerrear
guinchar
hidratar
imaginar
imprimir
inclinar
infestar
inspirar
inverter
lamentar
levantar
machucar
martelar
mastigar
misturar
observar
ordenhar
ostentar
paquerar
pendurar
perfumar
pincelar
policiar
proteger
rabiscar
rastejar
reciclar
reclamar
recortar
refletir
reprovar
resgatar
respirar
ressecar
retornar
saborear
sapatear
sepultar
socorrer
suplicar
suportar
suspirar
temperar
terminar
tricotar
triturar
tropeçar
ventilar
abandonar
abastecer
aborrecer
adicionar
adormecer
agasalhar
aglomerar
alimentar
amanhecer
amarrotar
anoitecer
apaixonar
apimentar
apodrecer
aproximar
arborizar
assombrar
atropelar
azucrinar
borbulhar
cochichar
comemorar
concordar
confiscar
confundir
consertar
construir
contagiar
contratar
conversar
depositar
descansar
descascar
descobrir
desmontar
despencar
despertar
desprezar
destelhar
discordar
divorciar
embrulhar
empacotar
emprestar
fantasiar
fermentar
financiar
idolatrar
incendiar
incinerar
localizar
maltratar
massagear
mergulhar
monitorar
nocautear
perseguir
pesquisar
protestar
rebobinar
registrar
telefonar
trabalhar
aconchegar
aconselhar
amadurecer
apresentar
arremessar
aterrissar
atravessar
bombardear
chacoalhar
cicatrizar
colecionar
conquistar
contaminar
crucificar
desarrumar
descabelar
descolorir
desconfiar
desentupir
desesperar
economizar
engravatar
envelhecer
equilibrar
esbravejar
esclarecer
escorregar
estacionar
fortalecer
fotografar
gargarejar
hipnotizar
interfonar
lacrimejar
presentear
pronunciar
selecionar
transmitir
transpirar
centralizar
desaparecer
desconectar
descongelar
descosturar
desmascarar
enlouquecer
entrevistar
entristecer
entusiasmar
espreguiçar
inspecionar
parabenizar
transportar
ultrapassar
cumprimentar
datilografar
experimentar
rejuvenescer
ziguezaguear
desaparafusar
pesquisar
